"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 31,,,,58.82352941,,58.82352941,,58.82352941,58.82352941,117.6470588,,,,,58.82352941,58.82352941,117.6470588,58.82352941,58.82352941,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 33,12.19512195,,,,12.19512195,24.3902439,12.19512195,12.19512195,12.19512195,36.58536585,,,24.3902439,24.3902439,48.7804878,12.19512195,,12.19512195,24.3902439,24.3902439
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 35,,,21.27659574,21.27659574,21.27659574,,,42.55319149,,,,,,21.27659574,42.55319149,,21.27659574,21.27659574,21.27659574,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 36,,,,20.40816327,20.40816327,,,,20.40816327,20.40816327,,20.40816327,20.40816327,,,,,40.81632653,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 38,,14.28571429,,,71.42857143,14.28571429,14.28571429,,57.14285714,14.28571429,14.28571429,71.42857143,57.14285714,42.85714286,85.71428571,14.28571429,28.57142857,71.42857143,42.85714286,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 39,,,,27.77777778,,,13.88888889,41.66666667,41.66666667,13.88888889,13.88888889,69.44444444,41.66666667,41.66666667,13.88888889,55.55555556,111.1111111,83.33333333,69.44444444,13.88888889
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 40.01,15.38461538,15.38461538,,,,,15.38461538,15.38461538,46.15384615,,15.38461538,15.38461538,,30.76923077,61.53846154,30.76923077,46.15384615,30.76923077,30.76923077,30.76923077
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 41,,21.27659574,,,21.27659574,42.55319149,42.55319149,,,,21.27659574,21.27659574,21.27659574,63.82978723,21.27659574,,63.82978723,63.82978723,21.27659574,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 43,,,,9.090909091,45.45454545,45.45454545,18.18181818,9.090909091,18.18181818,45.45454545,27.27272727,18.18181818,9.090909091,9.090909091,27.27272727,18.18181818,27.27272727,54.54545455,9.090909091,18.18181818
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 44,,26.31578947,,26.31578947,26.31578947,,,52.63157895,26.31578947,52.63157895,26.31578947,26.31578947,26.31578947,26.31578947,,52.63157895,52.63157895,52.63157895,26.31578947,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 46,,,,,,,,55.55555556,,,55.55555556,,,,,55.55555556,111.1111111,111.1111111,55.55555556,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 48,53.57142857,,35.71428571,17.85714286,17.85714286,17.85714286,53.57142857,53.57142857,17.85714286,35.71428571,,,,17.85714286,125,71.42857143,71.42857143,71.42857143,35.71428571,35.71428571
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 50,112.6760563,56.33802817,56.33802817,70.42253521,56.33802817,169.0140845,56.33802817,126.7605634,112.6760563,211.2676056,84.50704225,42.25352113,56.33802817,84.50704225,154.9295775,140.8450704,126.7605634,112.6760563,140.8450704,84.50704225
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 52,48.7804878,,,24.3902439,,24.3902439,24.3902439,24.3902439,48.7804878,73.17073171,24.3902439,73.17073171,24.3902439,,48.7804878,73.17073171,48.7804878,97.56097561,24.3902439,24.3902439
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 54,103.4482759,34.48275862,57.47126437,57.47126437,80.45977011,68.96551724,34.48275862,22.98850575,57.47126437,103.4482759,91.95402299,80.45977011,45.97701149,91.95402299,183.908046,103.4482759,160.9195402,172.4137931,91.95402299,34.48275862
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 56,18.86792453,18.86792453,9.433962264,9.433962264,47.16981132,47.16981132,18.86792453,9.433962264,28.30188679,66.03773585,28.30188679,37.73584906,18.86792453,28.30188679,56.60377358,28.30188679,75.47169811,56.60377358,47.16981132,28.30188679
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 57,34.48275862,,,,137.9310345,,,34.48275862,,34.48275862,,,,103.4482759,,,68.96551724,34.48275862,,34.48275862
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 60,,37.03703704,,37.03703704,,37.03703704,74.07407407,74.07407407,37.03703704,111.1111111,37.03703704,148.1481481,74.07407407,,37.03703704,37.03703704,111.1111111,74.07407407,111.1111111,111.1111111
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 62,25.3164557,12.65822785,12.65822785,12.65822785,25.3164557,25.3164557,50.63291139,12.65822785,25.3164557,25.3164557,63.29113924,12.65822785,,37.97468354,12.65822785,12.65822785,25.3164557,63.29113924,50.63291139,12.65822785
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 64,22.22222222,33.33333333,55.55555556,55.55555556,33.33333333,33.33333333,66.66666667,33.33333333,66.66666667,55.55555556,88.88888889,11.11111111,33.33333333,44.44444444,100,55.55555556,122.2222222,100,55.55555556,33.33333333
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 65,,,,,,29.41176471,,,,,,,29.41176471,29.41176471,29.41176471,29.41176471,88.23529412,,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 66,43.95604396,32.96703297,10.98901099,43.95604396,21.97802198,32.96703297,21.97802198,10.98901099,65.93406593,54.94505495,54.94505495,32.96703297,,76.92307692,54.94505495,32.96703297,131.8681319,131.8681319,65.93406593,43.95604396
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 67,,28.57142857,,,28.57142857,14.28571429,42.85714286,14.28571429,42.85714286,14.28571429,14.28571429,28.57142857,,28.57142857,28.57142857,14.28571429,57.14285714,100,14.28571429,14.28571429
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 68,34.18803419,17.09401709,,25.64102564,8.547008547,,25.64102564,51.28205128,42.73504274,25.64102564,25.64102564,8.547008547,25.64102564,8.547008547,59.82905983,17.09401709,51.28205128,111.1111111,51.28205128,17.09401709
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 69,,,25,12.5,12.5,,,12.5,12.5,,25,,37.5,,25,12.5,37.5,25,37.5,12.5
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 70,36.14457831,60.24096386,24.09638554,36.14457831,60.24096386,96.38554217,48.19277108,72.28915663,48.19277108,72.28915663,48.19277108,72.28915663,24.09638554,96.38554217,192.7710843,144.5783133,156.626506,132.5301205,144.5783133,48.19277108
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 72,64.51612903,10.75268817,21.50537634,32.25806452,53.76344086,64.51612903,53.76344086,53.76344086,64.51612903,21.50537634,21.50537634,32.25806452,,53.76344086,43.01075269,75.2688172,75.2688172,53.76344086,32.25806452,43.01075269
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 73,,,,,,,,,,24.3902439,24.3902439,48.7804878,,,24.3902439,48.7804878,48.7804878,195.1219512,,24.3902439
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 74,12.98701299,12.98701299,,,,25.97402597,19.48051948,12.98701299,12.98701299,19.48051948,32.46753247,12.98701299,12.98701299,19.48051948,19.48051948,25.97402597,25.97402597,32.46753247,32.46753247,6.493506494
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 75,,,,,15.625,,31.25,62.5,,15.625,15.625,31.25,15.625,15.625,46.875,,31.25,46.875,,15.625
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 77,,,,,13.15789474,,,13.15789474,,13.15789474,,,13.15789474,13.15789474,39.47368421,52.63157895,26.31578947,39.47368421,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 78,20.83333333,31.25,20.83333333,31.25,31.25,,10.41666667,41.66666667,10.41666667,83.33333333,52.08333333,41.66666667,62.5,52.08333333,93.75,93.75,83.33333333,93.75,104.1666667,31.25
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 79,,,18.86792453,,,,18.86792453,37.73584906,75.47169811,,37.73584906,18.86792453,,56.60377358,94.33962264,75.47169811,18.86792453,18.86792453,94.33962264,18.86792453
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 83,19.60784314,,,9.803921569,39.21568627,49.01960784,,39.21568627,39.21568627,29.41176471,9.803921569,19.60784314,29.41176471,19.60784314,29.41176471,9.803921569,29.41176471,49.01960784,,9.803921569
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 84,18.51851852,9.259259259,27.77777778,46.2962963,27.77777778,27.77777778,27.77777778,74.07407407,55.55555556,46.2962963,64.81481481,46.2962963,37.03703704,27.77777778,74.07407407,92.59259259,92.59259259,37.03703704,64.81481481,9.259259259
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 85,10.98901099,10.98901099,10.98901099,,21.97802198,10.98901099,10.98901099,21.97802198,21.97802198,54.94505495,21.97802198,21.97802198,43.95604396,32.96703297,43.95604396,65.93406593,76.92307692,43.95604396,65.93406593,21.97802198
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 86,63.82978723,42.55319149,,21.27659574,,21.27659574,,21.27659574,21.27659574,,42.55319149,63.82978723,21.27659574,21.27659574,42.55319149,21.27659574,21.27659574,21.27659574,42.55319149,21.27659574
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 87,,,,,,,45.45454545,,,,,,,,,,90.90909091,45.45454545,,45.45454545
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 88,22.22222222,66.66666667,22.22222222,22.22222222,,22.22222222,44.44444444,22.22222222,111.1111111,,44.44444444,,22.22222222,44.44444444,44.44444444,66.66666667,66.66666667,66.66666667,88.88888889,22.22222222
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 89,,,,,,,,,57.14285714,,28.57142857,,28.57142857,,,,57.14285714,28.57142857,,142.8571429
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 91,,,200,,400,,200,,,,,400,,200,,800,200,,200,200
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 92,36.58536585,12.19512195,,36.58536585,24.3902439,24.3902439,36.58536585,24.3902439,12.19512195,97.56097561,48.7804878,36.58536585,24.3902439,36.58536585,97.56097561,48.7804878,85.36585366,73.17073171,24.3902439,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 94,,,,14.70588235,,29.41176471,,,14.70588235,29.41176471,,29.41176471,29.41176471,44.11764706,44.11764706,44.11764706,73.52941176,102.9411765,,44.11764706
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 97,,,,,,,,,222.2222222,,,,,111.1111111,,,,,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 98,60.24096386,72.28915663,36.14457831,36.14457831,24.09638554,48.19277108,24.09638554,48.19277108,84.3373494,84.3373494,36.14457831,108.4337349,60.24096386,48.19277108,72.28915663,60.24096386,132.5301205,144.5783133,108.4337349,48.19277108
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 99,22.09944751,5.524861878,5.524861878,16.57458564,16.57458564,27.62430939,22.09944751,11.04972376,49.72375691,33.14917127,22.09944751,,55.24861878,16.57458564,60.77348066,44.19889503,60.77348066,60.77348066,22.09944751,33.14917127
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 102,,,,,,,,,,,,,,,,,,,43.47826087,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 110,,,,,,,,,,,,,,,,,55.55555556,,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 115.01,,,,,,,,,,,,,24.3902439,,,,,,,24.3902439
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 115.02,,8.26446281,,8.26446281,16.52892562,16.52892562,8.26446281,57.85123967,24.79338843,49.58677686,33.05785124,41.32231405,16.52892562,49.58677686,57.85123967,49.58677686,66.11570248,16.52892562,41.32231405,33.05785124
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 118,5.747126437,5.747126437,,,,,5.747126437,,17.24137931,5.747126437,5.747126437,,5.747126437,11.49425287,5.747126437,17.24137931,11.49425287,11.49425287,22.98850575,22.98850575
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 119,,13.15789474,,,13.15789474,13.15789474,13.15789474,13.15789474,13.15789474,,39.47368421,65.78947368,13.15789474,13.15789474,39.47368421,13.15789474,13.15789474,26.31578947,39.47368421,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 121.01,,,10.20408163,,10.20408163,10.20408163,10.20408163,20.40816327,40.81632653,30.6122449,10.20408163,20.40816327,40.81632653,20.40816327,10.20408163,10.20408163,30.6122449,51.02040816,30.6122449,10.20408163
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 121.02,,,142.8571429,,,285.7142857,,,285.7142857,142.8571429,,,,,,142.8571429,428.5714286,,,142.8571429
