CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2,neighborCount,neighborThreeYearGrowthmavg3,neighborThreeYearGrowth
18,2008,3,0,36047001800,11220,0,15731,2639,1,3083,530,0,0,0,0,0,0,-0.33333,0,0,0,0,54,2.25,4.8
18,2009,3,0,36047001800,11220,0,17855,2812,0,3581,565,0,0,0,0,0,-1,-0.33333,-0.33333,0,0,0,30,1.11114,-2.66664
18,2010,3,0,36047001800,11220,0,19221,3047,0,3927,671,0,0,0,0,0,0,0,-0.33333,0,0,0,60,2.04444,4.00002
18,2001,4,0,36047001800,11220,0,16345,2524,1,3382,519,0,0,0,0,0,0,0,0,0,0,0,48,0,0
18,2002,4,0,36047001800,11220,1,16334,2631,1,3329,538,0,1,0,0,0,0,0,0,1,1,1,18,0,0
18,2003,4,1,36047001800,11220,0,16266,2771,3,3277,556,1,1,0,0,0,0,0,0,-1,0,-1,18,0,0
18,2004,4,0,36047001800,11220,1,16081,2740,2,3191,515,0,0,0,0,-1,0,-0.33333,0,1,1,1,42,-0.25002,-0.75
18,2005,4,1,36047001800,11220,0,15892,2638,2,3148,501,1,0,0,0,0,0,-0.33333,0,-1,0,-1,30,1.08336,4.00002
18,2006,4,0,36047001800,11220,1,15737,2542,1,3167,497,0,1,0,0,-1,-1,-0.66667,-0.33333,1,1,1,24,1.75002,1.99998
18,2007,4,1,36047001800,11220,0,15258,2501,1,3034,490,1,0,0,0,0,0,-0.33333,-0.33333,-1,0,-1,66,3.14286,3.42858
18,2008,4,0,36047001800,11220,0,15731,2528,1,3083,540,0,0,0,0,-1,-1,-0.66667,-0.66667,0,0,0,42,2.60952,2.4
18,2009,4,0,36047001800,11220,0,17855,2848,0,3581,560,0,0,0,0,0,0,-0.33333,-0.33333,0,0,0,54,4.44288,7.5
18,2010,4,0,36047001800,11220,0,19221,2880,0,3927,571,0,0,0,0,0,-1,-0.33333,-0.66667,0,0,0,30,2.20908,-3.2727
18,2001,5,0,36047001800,11220,0,16345,2611,1,3382,519,0,0,0,0,0,0,0,0,0,0,0,42,0,0
18,2002,5,0,36047001800,11220,0,16334,2512,1,3329,488,0,0,0,0,0,0,0,0,0,0,0,36,0,0
18,2003,5,0,36047001800,11220,1,16266,2586,3,3277,509,0,1,0,0,0,0,0,0,1,1,1,12,0,0
18,2004,5,1,36047001800,11220,0,16081,2713,2,3191,521,1,0,0,0,0,0,0,0,-1,0,-1,12,-1.4286,-4.28574
18,2005,5,0,36047001800,11220,0,15892,2714,2,3148,496,0,1,0,0,-1,0,-0.33333,0,0,0,0,48,-0.76188,1.99998
18,2006,5,0,36047001800,11220,0,15737,2617,1,3167,495,0,0,0,0,0,0,-0.33333,0,0,0,0,36,3.23808,12
18,2007,5,0,36047001800,11220,1,15258,2491,1,3034,491,0,1,0,0,0,-1,-0.33333,-0.33333,1,1,1,36,8.66664,12
18,2008,5,1,36047001800,11220,0,15731,2511,1,3083,478,1,0,0,0,0,0,0,-0.33333,-1,0,-1,66,8.74998,2.25
18,2009,5,0,36047001800,11220,0,17855,2738,0,3581,548,0,0,0,0,-1,0,-0.33333,-0.33333,0,0,0,42,5.08332,1.00002
18,2010,5,0,36047001800,11220,0,19221,2915,0,3927,577,0,0,0,0,0,0,-0.33333,0,0,0,0,30,0.75,-1.00002
72,2001,0,21,36047007200,11220,19,16345,2702,156,3382,562,21,0,0,0,0,0,0,0,-2,0,-1,294,0,0
72,2002,0,19,36047007200,11220,29,16334,2613,152,3329,525,19,0,0,0,-0.09524,0,-0.04762,0,10,1,1,312,0,0
72,2003,0,29,36047007200,11220,24,16266,2546,164,3277,519,29,0,0,0,0.52632,0,0.14369,0,-5,0,-1,228,0,0
72,2004,0,24,36047007200,11220,20,16081,2606,145,3191,535,24,0,0,0,-0.17241,0.14286,0.08622,0.04762,-4,0,-1,240,-0.36732,-1.10202
72,2005,0,20,36047007200,11220,28,15892,2615,134,3148,537,20,0,0,0,-0.16667,0.05263,0.06241,0.06516,8,1,1,288,-0.52122,-0.46152
72,2006,0,28,36047007200,11220,20,15737,2616,140,3167,529,28,0,0,0,0.4,-0.03448,0.02031,0.05367,-8,0,-1,258,-0.25806,0.78948
72,2007,0,20,36047007200,11220,12,15258,2454,129,3034,446,20,0,0,0,-0.28571,-0.16667,-0.01746,-0.04951,-8,0,-1,186,-0.34068,-1.35
72,2008,0,12,36047007200,11220,21,15731,2796,127,3083,498,12,0,0,0,-0.4,-0.4,-0.09524,-0.20038,9,1,1,228,-0.60348,-1.24998
72,2009,0,21,36047007200,11220,26,17855,3070,127,3581,616,21,0,0,0,0.75,-0.25,0.02143,-0.27222,5,1,1,318,-0.40158,1.39536
72,2010,0,26,36047007200,11220,0,19221,3560,132,3927,721,26,0,0,0,0.2381,0.3,0.19603,-0.11667,-26,0,-1,294,1.20972,3.4839
72,2001,1,23,36047007200,11220,24,16345,2934,156,3382,624,23,21,21,21,0,0,0,0,1,1,1,300,0,0
72,2002,1,24,36047007200,11220,21,16334,2841,152,3329,587,24,19,20,20,0.04348,0,0.02174,0,-3,0,-1,312,0,0
72,2003,1,21,36047007200,11220,28,16266,2716,164,3277,552,21,29,23,23,-0.125,0,-0.02717,0,7,1,1,336,0,0
72,2004,1,28,36047007200,11220,23,16081,2667,145,3191,537,28,24,24,23,0.33333,0.21739,0.08394,0.07246,-5,0,-1,258,-0.28002,-0.84
72,2005,1,23,36047007200,11220,21,15892,2676,134,3148,556,23,20,24,22,-0.17857,-0.04167,0.00992,0.05857,-2,0,-1,324,-0.2031,0.23076
72,2006,1,21,36047007200,11220,25,15737,2707,140,3167,571,21,28,24,24,-0.08696,0,0.0226,0.05857,4,1,1,288,-0.48882,-0.85716
72,2007,1,25,36047007200,11220,21,15258,2639,129,3034,523,25,20,22,24,0.19048,-0.10714,-0.02502,-0.0496,-4,0,-1,252,-0.2553,-0.13956
72,2008,1,21,36047007200,11220,19,15731,2630,127,3083,517,21,12,20,20,-0.16,-0.08696,-0.01883,-0.0647,-2,0,-1,240,-0.85074,-1.55556
72,2009,1,19,36047007200,11220,21,17855,3389,127,3581,669,19,21,17,20,-0.09524,-0.09524,-0.02159,-0.09645,2,1,1,252,-0.81504,-0.75
72,2010,1,21,36047007200,11220,0,19221,3318,132,3927,676,21,26,19,21,0.10526,-0.16,-0.04999,-0.11406,-21,0,-1,324,-0.1971,1.71426
72,2001,2,39,36047007200,11220,25,16345,2877,156,3382,602,39,23,23,23,0,0,0,0,-14,0,-1,366,0,0
72,2002,2,25,36047007200,11220,25,16334,2880,152,3329,599,25,24,23,23,-0.35897,0,-0.17949,0,0,0,0,330,0,0
72,2003,2,25,36047007200,11220,21,16266,2821,164,3277,588,25,21,22,22,0,0,-0.11966,0,-4,0,-1,312,0,0
72,2004,2,21,36047007200,11220,34,16081,2640,145,3191,539,21,28,24,24,-0.16,-0.46154,-0.17299,-0.15385,13,1,1,318,-0.26232,-0.7869
72,2005,2,34,36047007200,11220,23,15892,2651,134,3148,539,34,23,24,23,0.61905,0.36,0.15302,-0.03385,-11,0,-1,264,-0.66228,-1.2
72,2006,2,23,36047007200,11220,18,15737,2635,140,3167,546,23,21,24,23,-0.32353,-0.08,0.04517,-0.06051,-5,0,-1,306,-0.70074,-0.11538
72,2007,2,18,36047007200,11220,22,15258,2650,129,3034,557,18,25,23,23,-0.21739,-0.14286,0.02604,0.04571,4,1,1,276,-0.7026,-0.79248
72,2008,2,22,36047007200,11220,24,15731,2627,127,3083,520,22,21,22,23,0.22222,-0.35294,-0.10623,-0.19193,2,1,1,252,-0.39354,-0.2727
72,2009,2,24,36047007200,11220,20,17855,2998,127,3581,623,24,19,21,21,0.09091,0.04348,0.03191,-0.15077,-4,0,-1,252,-0.708,-1.05882
72,2010,2,20,36047007200,11220,0,19221,3501,132,3927,711,20,21,20,21,-0.16667,0.11111,0.04882,-0.06612,-20,0,-1,258,-0.57426,-0.39132
72,2001,3,28,36047007200,11220,39,16345,2697,156,3382,556,28,39,39,39,0,0,0,0,11,1,1,300,0,0
72,2002,3,39,36047007200,11220,27,16334,2857,152,3329,592,39,25,32,32,0.39286,0,0.19643,0,-12,0,-1,324,0,0
72,2003,3,27,36047007200,11220,22,16266,2826,164,3277,553,27,25,29,29,-0.30769,0,0.02839,0,-5,0,-1,318,0,0
72,2004,3,22,36047007200,11220,16,16081,2715,145,3191,544,22,21,23,27,-0.18519,-0.21429,-0.03334,-0.07143,-6,0,-1,294,-0.04002,-0.12
72,2005,3,16,36047007200,11220,27,15892,2598,134,3148,519,16,34,26,28,-0.27273,-0.58974,-0.2552,-0.26801,11,1,1,288,-0.2622,-0.66666
72,2006,3,27,36047007200,11220,21,15737,2620,140,3167,529,27,23,26,25,0.6875,0,0.07653,-0.26801,-6,0,-1,234,-0.7905,-1.5849
72,2007,3,21,36047007200,11220,20,15258,2523,129,3034,527,21,18,25,24,-0.22222,-0.04545,0.06418,-0.21173,-1,0,-1,294,-0.75054,0
72,2008,3,20,36047007200,11220,19,15731,2639,127,3083,530,20,22,21,23,-0.04762,0.25,0.13922,0.06818,-1,0,-1,240,-0.86166,-1.00002
72,2009,3,19,36047007200,11220,21,17855,2812,127,3581,565,19,24,21,24,-0.05,-0.2963,-0.10661,-0.03058,2,1,1,246,-0.23076,0.30768
72,2010,3,21,36047007200,11220,0,19221,3047,132,3927,671,21,20,22,21,0.10526,0,0.00255,-0.01543,-21,0,-1,282,-0.31242,-0.24492
72,2001,4,19,36047007200,11220,25,16345,2524,156,3382,519,19,28,28,28,0,0,0,0,6,1,1,282,0,0
72,2002,4,25,36047007200,11220,38,16334,2631,152,3329,538,25,39,33,33,0.31579,0,0.15789,0,13,1,1,306,0,0
72,2003,4,38,36047007200,11220,20,16266,2771,164,3277,556,38,27,31,31,0.52,0,0.2786,0,-18,0,-1,324,0,0
72,2004,4,20,36047007200,11220,22,16081,2740,145,3191,515,20,22,29,29,-0.47368,0.05263,0.1207,0.01754,2,1,1,312,0.21276,0.63828
72,2005,4,22,36047007200,11220,16,15892,2638,134,3148,501,22,16,21,26,0.1,-0.12,0.04877,-0.02246,-6,0,-1,240,-0.21858,-1.29414
72,2006,4,16,36047007200,11220,26,15737,2542,140,3167,497,16,27,21,26,-0.27273,-0.57895,-0.21547,-0.21544,10,1,1,282,-0.47784,-0.77778
72,2007,4,26,36047007200,11220,24,15258,2501,129,3034,490,26,21,21,22,0.625,0.3,0.15076,-0.13298,-2,0,-1,216,-1.30602,-1.84614
72,2008,4,24,36047007200,11220,22,15731,2528,127,3083,540,24,20,22,21,-0.07692,0.09091,0.09178,-0.06268,-2,0,-1,300,-0.37464,1.5
72,2009,4,22,36047007200,11220,21,17855,2848,127,3581,560,22,19,20,20,-0.08333,0.375,0.15491,0.2553,-1,0,-1,252,-0.32814,-0.63828
72,2010,4,21,36047007200,11220,0,19221,2880,132,3927,571,21,21,20,21,-0.04545,-0.19231,-0.06857,0.0912,-21,0,-1,264,0.7317,1.33332
72,2001,5,26,36047007200,11220,20,16345,2611,156,3382,519,26,19,19,19,0,0,0,0,-6,0,-1,270,0,0
72,2002,5,20,36047007200,11220,24,16334,2512,152,3329,488,20,25,22,22,-0.23077,0,-0.11538,0,4,1,1,288,0,0
72,2003,5,24,36047007200,11220,30,16266,2586,164,3277,509,24,38,27,27,0.2,0,-0.01026,0,6,1,1,288,0,0
72,2004,5,30,36047007200,11220,19,16081,2713,145,3191,521,30,20,27,25,0.25,0.15385,0.07308,0.05128,-11,0,-1,312,0.3111,0.93336
72,2005,5,19,36047007200,11220,25,15892,2714,134,3148,496,19,22,26,24,-0.36667,-0.05,0.02778,0.03462,6,1,1,294,0.3528,0.12498
72,2006,5,25,36047007200,11220,19,15737,2617,140,3167,495,25,16,19,24,0.31579,0.04167,0.06637,0.0485,-6,0,-1,216,-0.14724,-1.5
72,2007,5,19,36047007200,11220,28,15258,2491,129,3034,491,19,26,21,24,-0.24,-0.36667,-0.09696,-0.125,9,1,1,240,-0.91986,-1.38462
72,2008,5,28,36047007200,11220,22,15731,2511,127,3083,478,28,24,22,21,0.47368,0.47368,0.18316,0.04956,-6,0,-1,198,-1.6146,-1.95918
72,2009,5,22,36047007200,11220,23,17855,2738,127,3581,548,22,22,24,22,-0.21429,-0.12,0.00647,-0.00433,1,1,1,312,-0.22572,2.66664
72,2010,5,23,36047007200,11220,0,19221,2915,132,3927,577,23,21,22,21,0.04545,0.21053,0.10162,0.18807,-23,0,-1,258,0.3858,0.45
38,2001,0,9,36047003800,11209,6,16345,2702,43,2465,395,9,0,0,0,0,0,0,0,-3,0,-1,78,0,0
38,2002,0,6,36047003800,11209,4,16334,2613,45,2492,406,6,0,0,0,-0.33333,0,-0.16667,0,-2,0,-1,102,0,0
38,2003,0,4,36047003800,11209,6,16266,2546,37,2577,397,4,0,0,0,-0.33333,0,-0.22222,0,2,1,1,108,0,0
38,2004,0,6,36047003800,11209,5,16081,2606,33,2502,421,6,0,0,0,0.5,-0.33333,-0.05556,-0.11111,-1,0,-1,120,1.07694,3.23076
38,2005,0,5,36047003800,11209,5,15892,2615,32,2467,408,5,0,0,0,-0.16667,-0.16667,0,-0.16667,0,0,0,108,1.1946,0.35292
38,2006,0,5,36047003800,11209,7,15737,2616,32,2448,462,5,0,0,0,0,0.25,0.11111,-0.08333,2,1,1,144,1.86126,1.99998
38,2007,0,7,36047003800,11209,9,15258,2454,33,2408,461,7,0,0,0,0.4,0.16667,0.07778,0.08333,2,1,1,162,1.48434,2.1
38,2008,0,9,36047003800,11209,6,15731,2796,36,2502,522,9,0,0,0,0.28571,0.8,0.22857,0.40556,-3,0,-1,96,1.14444,-0.66666
38,2009,0,6,36047003800,11209,9,17855,3070,40,2936,549,6,0,0,0,-0.33333,0.2,0.11746,0.38889,3,1,1,150,0.56112,0.25002
38,2010,0,9,36047003800,11209,0,19221,3560,44,3137,604,9,0,0,0,0.5,0.28571,0.15079,0.42857,-9,0,-1,162,-0.1389,0
38,2001,1,6,36047003800,11209,9,16345,2934,43,2465,485,6,9,9,9,0,0,0,0,3,1,1,102,0,0
38,2002,1,9,36047003800,11209,7,16334,2841,45,2492,403,9,6,7,7,0.5,0,0.25,0,-2,0,-1,66,0,0
38,2003,1,7,36047003800,11209,2,16266,2716,37,2577,425,7,4,6,6,-0.22222,0,0.09259,0,-5,0,-1,114,0,0
38,2004,1,2,36047003800,11209,5,16081,2667,33,2502,385,2,6,5,6,-0.71429,-0.66667,-0.1455,-0.22222,3,1,1,114,0.23532,0.7059
38,2005,1,5,36047003800,11209,6,15892,2676,32,2467,436,5,5,5,6,1.5,-0.44444,0.18783,-0.37037,1,1,1,150,2.78076,7.63638
38,2006,1,6,36047003800,11209,6,15737,2707,32,2448,412,6,5,5,5,0.2,-0.14286,0.32857,-0.41799,0,0,0,138,3.20178,1.26318
38,2007,1,6,36047003800,11209,7,15258,2639,33,2408,453,6,7,5,5,0,2,0.56667,0.4709,1,1,1,162,3.80862,2.5263
38,2008,1,7,36047003800,11209,9,15731,2630,36,2502,468,7,9,7,6,0.16667,0.4,0.12222,0.75238,2,1,1,150,1.26318,0
38,2009,1,9,36047003800,11209,6,17855,3389,40,2936,591,9,6,7,6,0.28571,0.5,0.15079,0.96667,-3,0,-1,114,0.49428,-1.04346
38,2010,1,6,36047003800,11209,0,19221,3318,44,3137,557,6,9,8,7,-0.33333,0,0.03968,0.3,-6,0,-1,150,-0.49596,-0.44442
38,2001,2,7,36047003800,11209,7,16345,2877,43,2465,456,7,6,6,6,0,0,0,0,0,0,0,102,0,0
38,2002,2,7,36047003800,11209,8,16334,2880,45,2492,474,7,9,7,7,0,0,0,0,1,1,1,84,0,0
38,2003,2,8,36047003800,11209,6,16266,2821,37,2577,404,8,7,7,7,0.14286,0,0.04762,0,-2,0,-1,90,0,0
38,2004,2,6,36047003800,11209,1,16081,2640,33,2502,420,6,2,6,6,-0.25,-0.14286,-0.03571,-0.04762,-5,0,-1,120,0.35292,1.05882
38,2005,2,1,36047003800,11209,4,15892,2651,32,2467,372,1,5,4,5,-0.83333,-0.85714,-0.31349,-0.33333,3,1,1,126,1.35294,3
38,2006,2,4,36047003800,11209,4,15737,2635,32,2448,417,4,6,4,5,3,-0.5,0.63889,-0.5,0,0,0,126,2.15292,2.4
38,2007,2,4,36047003800,11209,8,15258,2650,33,2408,391,4,6,5,5,0,-0.33333,0.72222,-0.56349,4,1,1,144,2.20002,1.2
38,2008,2,8,36047003800,11209,7,15731,2627,36,2502,427,8,7,6,5,1,7,1.33333,2.05556,-1,0,-1,162,1.77144,1.71426
38,2009,2,7,36047003800,11209,9,17855,2998,40,2936,505,7,9,7,6,-0.125,0.75,0.29167,2.47222,2,1,1,162,1.54284,1.71426
38,2010,2,9,36047003800,11209,0,19221,3501,44,3137,614,9,6,7,6,0.28571,1.25,0.3869,3,-9,0,-1,120,0.80952,-1.00002
38,2001,3,6,36047003800,11209,7,16345,2697,43,2465,444,6,7,7,7,0,0,0,0,1,1,1,138,0,0
38,2002,3,7,36047003800,11209,6,16334,2857,45,2492,459,7,7,7,7,0.16667,0,0.08333,0,-1,0,-1,108,0,0
38,2003,3,6,36047003800,11209,7,16266,2826,37,2577,472,6,8,7,7,-0.14286,0,0.00794,0,1,1,1,102,0,0
38,2004,3,7,36047003800,11209,6,16081,2715,33,2502,387,7,6,7,7,0.16667,0.16667,0.06349,0.05556,-1,0,-1,90,-0.69564,-2.08698
38,2005,3,6,36047003800,11209,2,15892,2598,32,2467,412,6,1,5,5,-0.14286,-0.14286,-0.03968,0.00794,-4,0,-1,108,-0.69564,0
38,2006,3,2,36047003800,11209,4,15737,2620,32,2448,376,2,4,3,5,-0.66667,-0.66667,-0.21429,-0.21429,2,1,1,126,-0.22506,1.41174
38,2007,3,4,36047003800,11209,6,15258,2523,33,2408,393,4,4,3,4,1,-0.42857,0.06349,-0.4127,2,1,1,120,1.13724,1.99998
38,2008,3,6,36047003800,11209,7,15731,2639,36,2502,386,6,8,5,4,0.5,0,0.27778,-0.36508,1,1,1,156,2.02614,2.66664
38,2009,3,7,36047003800,11209,7,17855,2812,40,2936,440,7,7,6,4,0.16667,2.5,0.55556,0.69048,0,0,0,174,2.31744,2.2857
38,2010,3,7,36047003800,11209,0,19221,3047,44,3137,497,7,9,8,6,0,0.75,0.22222,1.08333,-7,0,-1,162,2.3508,2.1
38,2001,4,9,36047003800,11209,6,16345,2524,43,2465,328,9,6,6,6,0,0,0,0,-3,0,-1,54,0,0
38,2002,4,6,36047003800,11209,7,16334,2631,45,2492,422,6,7,6,6,-0.33333,0,-0.16667,0,1,1,1,114,0,0
38,2003,4,7,36047003800,11209,7,16266,2771,37,2577,454,7,6,6,6,0.16667,0,-0.05556,0,0,0,0,102,0,0
38,2004,4,7,36047003800,11209,9,16081,2740,33,2502,453,7,7,6,6,0,-0.22222,-0.05556,-0.07407,2,1,1,108,1.99998,6
38,2005,4,9,36047003800,11209,6,15892,2638,32,2467,392,9,6,6,6,0.28571,0.5,0.15079,0.09259,-3,0,-1,84,1.47366,-1.57896
38,2006,4,6,36047003800,11209,2,15737,2542,32,2448,399,6,2,5,5,-0.33333,-0.14286,-0.01587,0.04497,-4,0,-1,84,1.12074,-1.05882
38,2007,4,2,36047003800,11209,4,15258,2501,33,2408,336,2,4,4,5,-0.66667,-0.71429,-0.2381,-0.11905,2,1,1,132,-0.43482,1.33332
38,2008,4,4,36047003800,11209,4,15731,2528,36,2502,359,4,6,4,5,1,-0.55556,0,-0.4709,0,0,0,132,1.23438,3.42858
38,2009,4,4,36047003800,11209,8,17855,2848,40,2936,428,4,7,5,5,0,-0.33333,0.11111,-0.53439,4,1,1,162,3.44442,5.57142
38,2010,4,8,36047003800,11209,0,19221,2880,44,3137,426,8,7,6,5,1,3,0.66667,0.7037,-8,0,-1,162,3.45456,1.36362
38,2001,5,6,36047003800,11209,10,16345,2611,43,2465,357,6,9,9,9,0,0,0,0,4,1,1,42,0,0
38,2002,5,10,36047003800,11209,5,16334,2512,45,2492,328,10,6,7,7,0.66667,0,0.33333,0,-5,0,-1,54,0,0
38,2003,5,5,36047003800,11209,5,16266,2586,37,2577,425,5,7,7,7,-0.5,0,0.05556,0,0,0,0,126,0,0
38,2004,5,5,36047003800,11209,6,16081,2713,33,2502,436,5,7,6,7,0,-0.16667,0.05556,-0.05556,1,1,1,108,3.14286,9.42858
38,2005,5,6,36047003800,11209,9,15892,2714,32,2467,447,6,9,7,7,0.2,-0.4,-0.1,-0.18889,3,1,1,114,5.36508,6.66666
38,2006,5,9,36047003800,11209,10,15737,2617,32,2448,382,9,6,7,7,0.5,0.8,0.23333,0.07778,1,1,1,72,4.50792,-2.57142
38,2007,5,10,36047003800,11209,2,15258,2491,33,2408,374,10,2,5,6,0.11111,1,0.27037,0.46667,-8,0,-1,72,0.6984,-1.99998
38,2008,5,2,36047003800,11209,7,15731,2511,36,2502,340,2,4,4,5,-0.8,-0.66667,-0.06296,0.37778,5,1,1,138,-1.10274,1.26318
38,2009,5,7,36047003800,11209,5,17855,2738,40,2936,423,7,4,3,5,2.5,-0.22222,0.6037,0.03704,-2,0,-1,120,1.08774,4.00002
38,2010,5,5,36047003800,11209,0,19221,2915,44,3137,439,5,8,5,4,-0.28571,-0.5,0.47143,-0.46296,-5,0,-1,156,4.08774,7.00002
34,2001,0,13,36047003400,11209,17,16345,2702,86,2465,395,13,0,0,0,0,0,0,0,4,1,1,54,0,0
34,2002,0,17,36047003400,11209,18,16334,2613,88,2492,406,17,0,0,0,0.30769,0,0.15385,0,1,1,1,36,0,0
34,2003,0,18,36047003400,11209,20,16266,2546,107,2577,397,18,0,0,0,0.05882,0,0.12217,0,2,1,1,24,0,0
34,2004,0,20,36047003400,11209,18,16081,2606,110,2502,421,20,0,0,0,0.11111,0.53846,0.15921,0.17949,-2,0,-1,36,-0.66666,-1.99998
34,2005,0,18,36047003400,11209,24,15892,2615,115,2467,408,18,0,0,0,-0.1,0.05882,0.02331,0.1991,6,1,1,30,-1.00002,-1.00002
